,punti_totali,punti_scontri
Chiquita,149.0,57
Energy,141.0,47
Velaryon,137.5,43
Napole,142.5,54
Sesko,143.0,58
Rco diao,152.0,80
Gottismo,135.0,25
FDP,134.5,28
Borussia,128.0,28
Qara,132.0,23
Pisa,136.0,45
Fredin,131.0,23
Cani,130.0,9
Ostia,138.0,41
Vikings,148.0,73
Rubin,131.5,23
